UID	5m	10m	15m	20m	30m	40m	60m	80m
YNL152W	-0.29	-0.07	-0.22	-0.38	-0.32	-0.22	0.1	0.11
YNL153C	-0.29	-0.89	-1.32	-0.62	-0.69	-1.03	-0.18	0.07
YNL154C	-0.09	-0.29	-0.17	-0.34	-0.67	-0.67	-0.69	-0.76
YNL155W	-0.03	0.68	0.68	1.37	1.05	0.29	0.6	0.61
YNL156C	0.52	1.38	1.49	1.28	1.04	0.83	0.26	0.08
YNL157W	0.34	0.49	0.26	0.57	0.4	-0.22	0.48	0.54
YNL158W	0.42	0.29	0.28		0.4		0.61	0.32
YNL159C	0.74	1.01	1.32	1.27	0.72		0.81	0.61
YNL160W	1.16	2.5	3.13	2.94	2.99		1.58	1.88
YNL161W	-0.29	-0.86	-0.23	-0.1	-0.29	-0.43	0.32	0.34
YNL162W	-0.71	-1.29	-2.25	-2.4	-1.51	-1.43	-0.81	-0.51
YNL163C	-0.68	-2.4	-1.38	-1.02	-0.96	-0.82	-0.23	-0.12
YNL164C	-1.64	-1.25	-1.69	-2.06		-0.56	-0.29	-0.22
YNL165W	-0.69	-0.25	-0.6	-0.67	-0.74	-0.58	-0.06	0.03
YNL166C	0.01	-0.22	-0.51	-0.6		0.24	1.16	0.98
YNL167C	-0.01	0.26	0.23	0.24	-0.4	-0.22	-0.18	-0.1
YNL168C	-0.06	0.54	0.44	0		0.42	0.36	0.11
YNL169C	0.03	0.34	0.3	0.44	-0.67	-0.64	-0.49	-0.49
YNL170W	-0.2	0.36	0.26	-0.29	-0.51	-0.01	-0.2	-0.36
YNL171C	0.44	-0.01	0.12	-0.1	-0.51	-0.42	-0.17	0
YNL172W		0.38	0.58			0.07		
YNL173C	1.49	1.29	1.73	2.08	1.76	1.19		
YNL174W	-0.71	-2.64	-5.64	-4.64	-4.06	-2	-1.15	-0.81
YNL175C	-0.67	-3.18	-5.64	-5.06	-4.32	-2.84	-1.03	-0.51
YNL176C	0.46	-0.12	0.21	-0.04	-0.09	0.19	0.01	0.12
YNL177C	-0.22	-0.29	0.19	0.34	0.12	-0.27	-0.34	-0.04
YNL178W	0.01	-0.79	-2.12	-2.47	-2.32	-2	-0.64	-0.42
YNL179C	-0.56	-0.6	-1.15	-0.22	-0.42	-0.62	-0.47	-0.25
YNL180C	-0.09	0	-0.25	0.08	0.41	0.16	-0.1	0.07
YNL181W	-0.3	-0.58	-0.36	-0.17	-0.25	-0.43	0.18	0.19
YNL182C	-2	-1.79	-6.64	-4.06	-3.18	-1.51	-1.32	-0.89
YNL183C	0.16	0.03	0.65	0.77	0.45	0.24	0.2	0.2
YNL184C	-0.23	0.01	0.24	0.08	-0.09	0.36	-0.54	-0.38
YNL185C	-0.49	0.03	0.36	0.23	-0.03		-0.2	-0.22
YNL186W	-2	-2.47	-2.12	-2.06	-1.4	-0.6	-0.79	-0.6
YNL187W	0.04	-0.06	0.15	0.15	0.39		0.28	0.5
YNL188W	-1.09	-0.49	-1.32	-1.22	-0.97	-0.97	-0.49	
YNL189W	-0.09	-0.6	-0.4	-0.54	-0.64		-0.4	-0.18
YNL190W	-0.49	-0.62	-0.56	-1.4	-1.03	-0.1	-0.67	
YNL191W	-0.51	-0.81	-0.94	-0.54	0.01		0.16	0.41
YNL192W	-0.42	-0.23	0.34				-0.43	
YNL193W	0.67	0.85	0.85	0.67	0.18		0.75	1.03
YNL194C	3.24	4.64	5.55	4.05	3.71			
YNL195C	2.51	3.66	4.48	3.78	3.35		0.77	
YNL196C			0.04					
YNL197C	-0.67	-1.6		-0.43	-0.71	-0.15	-0.4	-0.38
YNL198C		0.14	-0.81				-0.54	-0.4
YNL199C	-0.45	-1.12	-0.49	0.03	0	0.04	0.25	0.19
YNL200C	1.79	3.5	3.95	3.34	3.88			1.24
YNL201C	-0.42	-1.32	-0.76	-0.1	-0.43	-0.2	0.08	-0.3
YNL202W			0.04		0.51		-0.17	
YNL203C	0	-1	0.26		0.23		0.07	
YNL204C	-0.12	-0.42	-1.25		-1.09		-0.69	
YNL205C	-0.12	-0.4	-0.86	-0.25	-1.18	-0.32	-0.22	
YNL206C	-0.38	-0.3	-1		-0.6	-1.15		
YNL207W	0.2	-2.32	-2	-0.92	-1.22			-0.23
YNL208W	0.66	1.72	2	2.1	2.38	1.64	1.01	0.34
YNL209W	-0.14	-1.69	-2.56	-2.47	-3.18	-2.18	-1.15	-0.92
YNL210W			-0.01		-0.58			
YNL211C		0.26	-0.49	0	-0.76	-0.45	-0.2	-0.45
YNL212W	-0.14	-0.43	0.08	-0.64	-0.04	-0.38	-0.45	
YNL213C	-0.12	-0.34	-0.6	-0.32	-0.27		-0.03	
YNL214W	0.64	0.93	0.82	0.37	0.51	0.39	-0.03	
YNL215W	0.52	0.49	0.39	0.5	0.71		0.28	
YNL216W	-0.12	-0.79	0.26	-1.15	-0.84		-0.22	
YNL217W	-0.3	-1.32	-1.69	-1.4	-1.6	-1.51	-0.32	-0.32
YNL218W	-0.64	-0.79	-0.56	-1.09	-0.76	-0.09	-0.22	
YNL219C	-0.6	-0.97	-0.62	-0.76	-1.15	-1	-0.64	-0.97
YNL220W	-0.27	-0.18	-0.07	-0.6	-0.14	0.65	-0.3	
YNL221C			-0.45					
YNL222W	-0.27	-0.47	-0.34	-0.09	-0.03	-0.67	0.19	
YNL223W								
YNL224C	0.4	0.37	0.01		0.7		0.42	0.3
YNL225C			-0.6			-1.12		
YNL226W			-1.36		-1.29		0.14	-0.47
YNL227C			-1.89					
YNL228W	-0.84	0.01	-2.56	-1.74	-1.25		-0.07	0.1
YNL229C			-0.2					
YNL230C	0.74		-0.07		0.49		0.16	0.34
YNL231C			0.11					
YNL232W	-0.69	-1.15	-1.6	-1.56	-1.15	-0.97	-0.43	-0.34
YNL233W	-0.42	-1.18	-0.01	-0.27	-0.51	-0.29	0.23	0.08
YNL234W	-0.6	0.06	-0.69		-0.71	0.51	-1.03	-2.32
YNL235C	-0.07	-0.27	0.06	0.08	-0.22	-0.34	0.08	-0.1
YNL236W	-0.3	-0.18	0	0.18	0	0.23	-0.36	
YNL237W	0.33	1.59	2.46	1.71	1.86	1.1	0.75	0.57
YNL238W	-0.67	-0.14	-0.07	-0.74	-0.67	-0.34	-0.62	
YNL239W	-0.09	-0.15	0.84	0.65	0.66	0.38	0.19	0.08
YNL240C	-1.32	-0.97	-0.86	-1.29	-1.25	-0.62	-0.97	
YNL241C	0.68	1.27	2.34	1.95	1.71	1.33	0.53	0.53
YNL242W		0.08		0.7		0.96	-0.15	
YNL243W	0.91	-0.07	0.92	0.77	0.9	0.4	0.54	0.4
YNL244C	-0.74	-0.36	-0.92	-1.22	-0.79	-0.64	-0.4	
YNL245C	-0.34	-0.12	-0.07	-0.01	-0.38	-0.15	0.11	0
YNL246W	-0.18	-0.07	0.07	-0.23	-0.38	0.24	-0.12	-0.06
YNL247W	-0.43	-1.89	-2.06	-1.84	-1.84	-1.4	0.07	-0.09
YNL248C	-1.64	-4.64	-5.06	-4.32	-3.64	-1.74	-1.25	-1.12
YNL249C	-0.56	-0.29	-0.34	-0.07	-0.18	-0.49	0.15	0.07
YNL250W	-0.29	0.26	0	-0.04	0.55	0.23	0.16	0.33
YNL251C	-0.46	-1.9	-1.84	-1.7	-1.61	-1.3	-0.56	-0.49
YNL252C	-0.25	0.16	0.51	0.5	0.45	0.25	-0.17	-0.03
YNL253W	-0.09	-0.32	-0.09	0.28	0.08	0.28	0.16	0.01
YNL254C	-1.47	-1.84	-1.51	-1.32	-1.12	-0.34	-0.4	-0.07
YNL255C	-0.47	-1.64	-2.47	-2	-1.94	-1.89	-0.71	-0.64
YNL256W	-1.22	-2	-1.84	-2.06	-1.84	-1.12	-1.43	-0.74
YNL257C	-0.36	-0.58	-0.03	-0.14	-0.43	-0.76	0.11	-0.03
YNL258C	-0.47	-0.03	-0.23	-0.38		-0.17	-0.18	-0.1
YNL259C	0.1	-0.29	-0.49	-0.25	-0.36	-0.92	-0.06	-0.15
YNL260C	-0.45	-0.12	-0.2	-0.38	0.12	0.37	0.2	0.37
YNL261W	-0.58	-1.12	-0.38	-0.27	-0.18	-0.32	0.07	0.14
YNL262W	-0.01	-0.62	-0.8	-1.07	-0.81	-0.3	-0.36	-0.51
YNL263C	0.14	0.12	0.41	0.07	-0.32	0.51	0.15	-0.18
YNL264C	-0.04	0.58	0.45	-0.07	0.19	0.23	-0.38	-0.32
YNL265C	0.53	0.72	0.46	0.77	0.53		0.52	0.33
YNL266W	-0.04	0.63	0.4	0.4	0.59	0.14	0.11	0.2
YNL267W	-0.06	0.07	0.08	-0.15	-0.47		-0.04	-0.27
YNL268W	-0.92	-0.92	-0.54	-1.12	-0.49	-0.03	-0.58	-0.74
YNL269W			0.1	-0.17			-0.3	
YNL270C		1.38	0.55					
YNL271C	0.6	-0.14	0.02	-0.17		0.52	-0.06	
YNL272C	-0.18	-0.4	-0.2	-0.14	-0.36		-0.17	
YNL273W	-0.47	-0.76	-1.03		-1.12		-0.38	-0.58
YNL274C	1.97	3.5	4.28	4.19	3.61	2.83	1.69	1.66
YNL275W	-1	-0.71	-0.49	-0.42	-0.76	-0.79	-0.69	-0.76
YNL276C		0.62	0.1	0.42	1.32			0.25
YNL277W	-0.15	-0.07	0.23	0.52	0.96	0.58	0.45	0.29
YNL278W	0.01	0.18	-0.54	-0.71	-0.81		0.08	-0.22
YNL279W	-0.34	-0.81	-0.25	-0.22	-0.58	-0.04	0.19	0.36
YNL280C	0.23	-0.06	-0.09	-0.06	-0.07		-0.04	0.06
YNL281W	0.82	1.48	1.32	1.39	1.14		1.14	1.32
YNL282W	-1.22	-1.74	-1.84	-2.18	-1.43	-0.84		
YNL283C	-0.74	-0.86	-0.49	-0.81	-1.09		-0.51	-0.43
YNL284C	-0.76	-0.12	0.2	-0.04	0.26	0.32	-0.09	-0.27
YNL285W		0.86	-0.34	-0.06			0.15	
YNL286W	-0.07	0.14	-0.29	-0.49	0.07	-0.14	0.15	0.07
YNL287W	-0.27	-1.06	-0.1	-0.04	-0.32		-0.3	-0.18
YNL288W	-0.84	-0.17	0.03	-0.67	-0.22	0.01	-0.45	-0.94
YNL289W	0	-0.17	0.07	0.32	0.23		0.09	
YNL290W	-0.79	-0.29	-0.6	-0.71	-0.03	-0.07	0.33	-0.09
YNL291C	-1	-1.15	-0.81	-0.97	-1.12		-0.49	-0.43
YNL292W	-1.43	-1.09	-1.94	-2.4	-1.32	-0.94	-0.67	-0.62
YNL293W	0.88	0.58	1.66	1.63	1.54	0.95	0.73	0.55
YNL294C	-0.1	0.1	0.96	0.34	0.41	0.65	-0.06	0.2
YNL295W	-0.18	-0.62	0.24	0.41	0.04	0.21	0.14	0.06
YNL296W	-0.36	-2.12	-0.64	-0.43	-0.62	-0.6	-0.67	-0.56
YNL297C	-0.56	-2.12	-0.23	0.1	-0.38	0.11	0.21	-0.07
YNL298W	-0.3	-0.69	-0.4	-0.58	-0.62	-0.36	-0.64	-0.45
YNL299W	-2.32	-2.74	-3.64	-1.69	-2.64	-1	-0.15	-0.14
YNL300W	0.53	-0.1	-1	-1.64	-1.15	0.07	0.37	-0.4
YNL301C	-0.3	-1.32	-1.64	-1.74	-1.84	-1.18	-0.64	-0.6
YNL302C	-0.62	-1.12	-2.06	-2.32	-1.69	-1.51	-1.15	-0.69
YNL303W	-0.76	-1.06	-1.94	-1.32	-1.64	-1.32	-0.74	-0.71
YNL304W			0.58	0.38	0.38		0.45	
YNL305C	1.04	2.24	2.46	2.26	1.97	1.36	1.08	0.91
YNL306W	-0.79	-0.07	0.37	0.28	0.33	0.34	-0.29	-0.32
YNL307C	-0.51	-0.84	-0.07	-0.32	-0.69	-0.71	-0.62	-0.81
YNL308C	-1.29	-3.47	-4.06	-1.74	-2.06	-0.81	-2.32	-0.2
YNL309W	-0.36	-1.09	-0.67	-0.89	-0.79	-0.81	-0.34	-0.49
YNL310C	-0.06	0.73	0.29	0.19	0.57	0.31	0.28	
YNL311C		-0.3	-0.6					-1.84
YNL312W	-0.54	-0.12	-0.3	-0.94	-0.14	0.21	-0.14	-0.69
YNL313C	-1.79	-3.47	-3.64		-2.4	-1.47	-0.81	-0.81
YNL314W	-0.81	-0.45	-0.15	-1.09	0.07	-0.04	-0.29	
YNL315C	-0.2	-0.29	0.24	0.34	0.71	-0.15	-0.15	-0.09
YNL316C	-0.3	0.03	0.11	-0.58	0.01	0.16	-0.47	
YNL317W			-0.04					
YNL318C								
YNL319W			0.57					
YNL320W	-0.6	0.37	0.63	0.39	0.06	0.29	-0.14	-0.6
YNL321W			0.4					
YNL322C	0.29	1.16	1.28	1	0.83	1.2	0.72	0.18
YNL323W			-0.45					
YNL324W	-0.15	-0.54	0.12	0.01	0.25	-0.06	-0.18	
YNL325C	-0.45	-1.25	-0.07	0.34	0.62	-0.01	0.24	-0.03
YNL326C	-0.58	0.18	0.19	-0.17	0.03	0.08	-0.34	-0.6
YNL327W	-0.71	-1.51	0.19	0.04	-0.42	-0.42		-1.06
YNL328C	-0.2	-0.43	-0.51	-0.3	-0.42	-0.38	-0.23	-0.45
YNL329C	-0.54	-1.4	-0.12	-0.32	-0.22	-0.22	-0.01	-0.12
YNL330C	-0.32	0.31	0.55	0.16	0.29	0.23	0.25	
YNL331C	-0.22	0.07	0.42	0.16	0.28	-0.27	0.14	0.01
YNL332W			0.72	-0.01	0.69		0.59	
YNL333W		0.61	0.14		0.18		0.76	0.23
YNL334C	-0.74	0.25	0.23	-0.17	0.14	0.52	0.67	
YNL335W			0.19		0.03		0.3	-0.1
YNL336W	-0.2	0.56	1.09	0.43	0.5	0.66	-0.15	
YNL337W	-0.64	-0.22	-0.45	-0.45	-0.56	-0.4		-0.89
YNL338W	-0.34	-0.22	1.16	0.03	-0.1	-0.01	-0.25	
YNL339C	0.18	-0.69	-0.03	0.06	0.06	0.7		-0.49
YNR001C	1.36	2.87	3.86	3.5	3.5	2.77	0.84	
YNR002C		2.7	3.8		1.84	0.83		
YNR003C	-0.4	-2	-2.84	-2.12	-2.18	-2	0.2	
YNR004W	0	0.52	0.58	0.37	-0.09	-0.22		
YNR005C		-0.1	0.03	0.34	0.18		0.08	
YNR006W		0.23	0.42	0.73		0.25		
YNR007C		1.18	1.42		1.18			
YNR008W	-0.03	-0.56	0.73	0.46	0.19	0.54		
YNR009W	-0.32	-1	-1.79	-2.06	-2.32	-1.94	-0.03	
YNR010W	0.62	0.31			0.24			
YNR011C	0.51	-0.14	-0.01					
YNR012W	-1.29	-2.32	-2.84	-2.56	-2	-0.97	-0.23	-0.34
YNR013C	-0.1	-0.76	0	-0.06	-0.38	0.16	-0.15	-0.2
YNR014W	3.48	3.66	3.93	3.38	2.09			
YNR015W	-0.84	-1.12	-1.47	-1.84	-1.56	-0.62	-0.62	-0.38
YNR016C	0.62	-0.77	-0.49	-0.71			-0.92	
YNR017W	-0.79	-0.51	-0.36	-0.64	-0.79	0.04	-0.64	-0.84
YNR018W	-0.36	-0.54	-0.62	-0.43	-0.76	-0.54	0.46	0.16
YNR019W	0.29	0.34	0.82		2.01			
YNR020C	0.55	0.08	-0.32	0.41				
YNR021W	0.24	-1.12	-0.89	-1.06	-1.22	-1.03	-0.76	
YNR022C	-0.51	-0.51	-0.89	-0.36	-0.42	-0.67	-0.18	-0.23
YNR023W	0	0.01	0.14	0.06	0.14		-0.04	0.52
YNR024W	-0.4	-1.47	-2.25	-1.15	-0.76		-0.04	0.37
YNR025C	-0.58	-0.64	-2	-1.51	-0.62		-0.74	0.19
YNR026C	-0.4	-0.97	-0.43	0.15	-0.06	-0.36	-0.12	-0.22
YNR027W	-0.58	-0.34	-0.86		-0.81		-0.43	
YNR028W	-0.15	-0.36	-0.3	-0.2	-0.49	-0.92	-0.62	-0.64
YNR029C		0.49	-0.69		-0.29			
YNR030W	-0.23	-0.4	0.12		0.15	0.45		-0.3
YNR031C	-0.6	-0.3	0.14		0.15	0.19		
YNR032W	-0.71	-0.15	0.1		-0.25	-0.38	-0.54	-0.79
YNR033W		0.82						
YNR034W	1.55	1.64	2.2	2.07	1.65	0.99	0.12	-0.22
YNR035C	0.76	1.28	1.58					
YNR036C	-0.2	0.06	0.57	0.61	0.6	0.46	0.01	-0.09
YNR037C	0.63	0.86	1.1	0.89			0.61	
YNR038W	-1.56	-2.84	-3.06	-2.25	-2.18	-1.22	-0.67	-0.69
YNR039C	-0.62	-0.03	-0.25	-0.47	-0.51	0.15	-0.43	-0.27
YNR040W			0.26		0.39	-0.36		
YNR041C	-0.22	0.15	0.28	-0.07	0.15	0.53	-0.27	-0.14
YNR042W	-0.27	-0.36	0	0.1	-0.06	-0.17	-0.12	-0.04
YNR043W	-0.17	-0.71	-0.74	-1.18	-0.81	-0.15	-0.09	-0.32
YNR044W	-0.58	-1.84	-1.89	-1.47	-1.29	-0.71	-0.27	-0.69
YNR045W	0.6	0.79	0.87	0.64	0.84		-0.18	0.16
YNR046W	-0.79	-1.51	-2.18	-1.4	-1.69	-0.79	-0.56	-0.47
YNR047W	0.45	0.43	1.25		0.82		0.29	0.29
YNR048W	-0.56	-0.4	-0.92	-0.18	-0.45		0.2	
YNR049C	0.21		-0.15	-0.29	0.23		0.01	0.01
YNR050C	-0.47	-1.36	-0.81	-0.86	-1.4	-0.84	-0.81	
YNR051C	-1.22	-1.36	-0.92	-1.03	-1.06		-1.18	-1
YNR052C	-0.84	-1.22	-0.32	-0.1	-0.34	-0.22	-0.07	-0.3
YNR053C	-2.64	-3.06	-5.06	-4.06	-3.47			-0.84
YNR054C	-0.22	-2.74	-3.32		-1.43	-0.79	-0.07	0.06
YNR055C			-0.03					
YNR056C		-0.01	0.61				0.89	
YNR057C								
YNR058W			0.1				0.14	
YNR059W	0.04	-0.04	-0.22		-0.47		-0.27	
YNR060W		-0.76	-0.25		-0.2		-0.2	-2.94
YNR061C	0.15	-0.1	-0.42	-0.86	-0.81	-0.54	-0.86	-1.25
YNR062C		-0.86	-0.86		0.08			
YNR063W			-0.94		-0.32			
YNR064C		-0.2	-0.4		0.19			
YNR065C								
YNR066C			-1.06		-0.09			
YNR067C								
YNR068C	2.6	2.1	1.75	2.08				
YNR069C	2.23	0.69	1.79		2.12			
YNR070W			0.44					
YNR071C								
YNR072W	-0.01	-0.47	0	0.31	0.2	0.06	-0.17	0.33
YNR073C			0.42		-0.58			
YNR074C	0.1	-0.62	-0.79		-0.25	-0.29	0.1	
YNR075W	-0.04	-0.03			-1.36			
YNR076W	0.06	-0.34	-0.27		-0.25	-0.17	0.23	
YNR077C					-0.47			
YOL001W	-0.47	-0.92	-0.47		-0.45	-0.4	-0.25	
YOL002C	-0.67	-1.22		-1.69	-1.69	-1.4	-0.81	-0.92
YOL003C	-0.04	-0.58	-0.17				0.24	
YOL004W								
YOL005C	0.12	-0.58	-0.74	-0.58	-0.45	-0.84	-0.22	
YOL006C	0.38	-0.58			-0.27			
YOL007C	-0.94	-2.56	-1.79	-1.4	-1	-0.54	0.31	
YOL008W	-0.17	0.39		-0.01	-0.18	-1.03	-0.18	-0.43
YOL009C	-0.15	0.16	0.4	0.6	0.56		0.23	0.34
YOL010W	-2.56	-2.84	-3.18	-3.32	-2.4	-1.36	-0.89	-0.14
YOL011W	0.11	-0.71	0.04	-0.15	-0.15	0.11	0.32	-0.15
YOL012C	-0.25	0.33	-0.18	0.03	-0.67	-1.32	-0.47	-0.09
YOL013C	0.52	0.5	0.82	0.82	0.63	0.04	0.29	0.07
YOL014W	0.69	1.22	0		-0.74		-0.69	
YOL015W								
YOL016C	1.98	1.98	1.99	1.57	1.76	0.69	0.69	
YOL017W		-0.32	-1.25				0.48	
YOL018C	-0.56	-0.15	-0.07	-0.32	-0.22	-0.4	-0.36	
YOL019W	-1.18	-1.74	-0.86	-1.18	-0.94	-0.15	-0.1	-0.84
YOL020W	-0.89	-0.58	-0.27	-0.67	-0.34	0.16	-0.27	
YOL021C	-0.97	-2.32	-1.51	-1.4	-1.47	-0.86	-0.4	-0.62
YOL022C	-0.58	-1.51	-2.74	-2.47	-2.32	-1.47	-0.42	-0.23
YOL023W		0.08	0.29	0.48	0.39	0.16	0.46	0.43
YOL024W	0	-0.22	-0.09	0.04	-0.2	0	-0.01	0.15
YOL025W	0.31	0.25	0.58	0.58	0.45	0.53	0	0.41
YOL026C	-0.14	0.1	0.12	0	-0.17	-0.2	0.23	0.06
YOL027C	-0.56	-1	-0.81	-0.56	-0.54	-0.43	0.04	-0.32
YOL028C	-0.3	-0.79	-0.86	-0.6	-0.62	-0.38	0.03	0.21
YOL029C	-0.3	-0.76	-1	-0.18	-0.49	-0.14	0.14	0.28
YOL030W	-0.14	-0.17	0.16	-0.04	-0.27	0.26	-0.06	-0.01
YOL031C	-0.36	-0.03	0.06	0.15	0.14	0.38	0.76	0.3
YOL032W	2.74	2.76	2.35	2.54	2.2	1.15	1.39	1.2
YOL033W	-0.09	0.16	0.48	0.65	0.59		0.46	0.3
YOL034W	-0.51	-0.74	-0.81	-0.17	-0.74		-0.14	0.16
YOL035C	0.04	0.54	0.33	0.2	0.1	-0.04	0.43	0.34
YOL036W	-0.2	0.12	0.32	-0.03	0.07	0.71	0.11	0.16
YOL037C	-0.01	-0.4	0.39	0.33	-0.03	-0.15	0.51	0
YOL038W	-0.4	0.42	0.42	0.24	0.51	0.5	0.1	0.24
YOL039W	-0.3	-0.89	-1.6	-1.94	-2.64	-1.79	-1.06	-0.94
YOL040C	-0.27	-0.54	-1.36	-2.18	-2.12	-1.43	-0.94	-1.03
YOL041C	-1.89	-4.32	-3.02	-3.06		-1.84	-0.89	
YOL042W	-0.92	-0.12	-0.2	-0.69	-0.74	-0.58	-0.81	-0.58
YOL043C	0.52		0.04	0.34			0.69	0.59
YOL044W	-0.58	0.03	-0.27	-0.47	-0.14	0.08	-0.3	-0.17
YOL045W	-0.23	-1.32	-0.36	-0.23	-0.36	-0.23	0.18	0.24
YOL046C	-0.23	-1.25	-0.38	-0.51	-0.62	-0.23	-0.22	
YOL047C		2.76	3.85	3.4	3.85	1.88		
YOL048C	1.45	2.53	2.4	1.75	1.37	0.72	0.08	
YOL049W	0.04	-0.58		0.36	0.2	-0.09	-0.2	0.07
YOL050C	0.1	0.68	0.18	0.2	0.03	0.01	0.14	0.23
YOL051W	-0.2	-0.16	-0.03	-0.38	0.17	-0.02	-0.22	
YOL052C	0.19	-0.36	-0.79	-0.84	-0.47		0.37	0.4
YOL053W	1.27	1.81	1.54	1.37	1.44			
YOL054W	-0.92	-1.6	-1.6	-1.4	-0.97	-0.49	-0.47	-0.3
YOL055C	0.3	0.73	0.75	0.78	1.04		0.99	0.9
YOL056W	-0.14	0.4	-0.64	-0.34	-0.51	-0.54	-0.36	-0.18
YOL057W	-0.07	-0.43	0.23	-0.36	-0.2	0.12	-0.38	-0.38
YOL058W	0.03	-0.1	0.04	0.2	0.51	0.66	0.85	0.88
YOL059W	0.26	0.41	0.49	-0.2	-0.1	0.19	-0.23	-0.23
YOL060C	0.46	0.18	1	0.68	0.37	0.45	0.15	0.38
YOL061W	-0.97	-1.56	-1.18	-1.6	-1.15	-0.58	-0.97	-0.86
YOL062C	-0.47	-0.2	-0.01	-0.09	-0.36	-0.42	-0.42	-0.36
YOL063C	0.16	0.23	0.5	0.11	0.5	0.58	0.18	0.25
YOL064C	-0.45	-0.6	-0.38	-0.45	-0.74	-0.64	-0.58	-0.6
YOL065C	-0.06	0.34	0.49	0.12	0.3	0.04	-0.36	-0.01
YOL066C	-0.14	-0.12	0.08	0.28	0.07		0.16	0.45
YOL067C	-0.54	-0.56	0.23	-0.14	0.24	0.54	-0.34	-0.06
YOL068C	-0.49	-0.92	-0.43	-0.01		-0.29	-0.36	-0.43
YOL069W	-0.45	-0.6	-0.32	-0.29	-0.49	-0.58	-0.6	-0.03
YOL070C	-0.49	-1.12	-0.36	0.1	0.1	-0.27	-0.04	0.33
YOL071W	0.78			1.91	1.94	1.14	0.89	0.78
YOL072W	0.1	-0.45	0.24		0.24		0.11	-0.07
YOL073C	0.7			0.54	0.55	0.06	-0.17	-0.49
YOL075C	-0.03	-0.23	0.18	-0.29	0.1	0.18	0.19	0.34
YOL076W	-0.69	-1.69	-0.84	-0.56	-0.51	-0.09	0.19	0.18
YOL077C	-1.79	-5.06	-5.64	-5.06	-4.06	-2.94	-1.4	-0.86
YOL078W			-0.67	-0.09			-0.32	
YOL079W	-0.67	-1.06	-1.43	-1.56	-1.36	-1.09	-0.92	-0.54
YOL080C	-0.89	-0.84	-1.69	-1.12	-1.4	-0.97	-0.58	-0.51
YOL081W	-0.34	-0.32	0.15		0.12	-0.22		
YOL082W	0.94	1.51	2.08	2.27	2.01	0.92	0.82	
YOL083W		2.1		2.18	2.79	2.54		
YOL084W	3.59	5.58	7.14	5.78	6.19	3.54		
YOL085C			2.8		1.4			
YOL086C	0.46	0.77	1.04	1.04	0.37	0.28	0.19	0.03
YOL087C	0.57	1.44		0.96	1.1	0.5	0.11	-0.18
YOL088C	0.1	0.18	0.48	0.7	0.51	0.15	0.5	0.55
YOL089C	-0.69	-0.29	-0.2		0.03			
YOL090W	0.23	-0.69	0.2	0.58	0.26	0.18	0.82	0.4
YOL091W	0.32		-0.79		-0.4			
YOL092W	-1.12	-2.74	-2.18	-2.06	-2	-1.47	-0.89	
YOL093W	-0.36	-0.97		-1.25	-0.79	-1.09	-0.06	-0.2
YOL094C	-0.64	-1.47	-0.32	-0.49	-0.22	-0.58	-0.01	
YOL095C	0.21	0.46			-0.2			-0.32
YOL096C	0.89	0.7	1.66	1.83	1.52	0.08	0.23	
YOL097C	-0.12	-0.76	-1.12	-1.94	-1.4	-1.43	-0.49	-0.47
YOL098C	-0.58	-2.06	-0.32	-0.09	0.16	-0.15	-0.15	
YOL099C	0.61	0.7	0.51	0.6	0.7	0.54	0.16	
YOL100W	0.14	-0.54	0.82	0.82	1.02			
YOL101C	-1.12	-2.4	-2.56	-2.32	-2.94	-2.56	-0.42	
YOL102C	0.04	-0.94	-0.89	-0.45	-0.42		0.25	
YOL103W	-1.03	-1.4	-0.97	-1.12	-1.06	-0.86	-0.6	
YOL104C	-0.42	-1.12	-0.29	0.58	0.12	0.77	0.98	0.58
YOL105C	-0.36	-0.04	0.5	0.03	-0.15	0.03	-0.34	
YOL106W	-0.49	-0.97	-0.54	-0.15	-0.36	-0.56	0.15	0.15
YOL107W	-0.3	0.4	1.01	0.42	0.63	0.9	0.36	
YOL108C	0.48	0.4	-0.06	0.4	0.46		0.39	0.43
YOL109W	0.51	0.4	-0.81	-0.71	-0.15	-0.49	0.9	
YOL110W			0.81	0.36	0.57		0.33	-0.07
YOL111C	-0.06	0.63	0.19	0.04	0.1	-0.23	0	
YOL112W	-0.45	-0.43	-0.69	-0.43	-0.56		0.1	-0.27
YOL113W	-0.03	-0.17	0.43	-0.04	0.18	-0.3	0	
YOL114C	0.24	0.07	-0.38	0.01	-0.32		0.15	0.23
YOL115W	-1.03	-1.15	-0.79	-0.86	-0.54	-0.23	-0.58	
YOL116W	0.31	0.04	0.29	0.81	0.24	0.14	0.82	0.62
YOL117W	1.27	1.07	1.45	1.27	1.28	0.78	0.9	0.99
YOL118C	0.84	0.32	0.25	0.34	0	0.25	0.4	
YOL119C	-0.45	-0.17	0.97	0.8	0.9	1.14	0.15	-0.03
YOL120C	-0.29	-1.09	-1.69	-1.79	-1.94	-1.47	-0.54	-0.67
YOL121C	-0.38	-1.12	-2.12	-2.18	-1.79	-1.6	-0.84	-0.47
YOL122C	-0.29	-0.03	0.77	0.76	0.85	1.26	0.54	0.21
YOL123W	0.26	-1.32	-2.32	-1.74	-1.69	-1.74	-0.15	0.03
YOL124C	-1.84	-3.84	-5.64	-5.06	-3.64	-2.4	-0.47	-0.38
