UID	5m	10m	15m	20m	30m	40m	60m	80m
YBR012W-A	-0.14	-1.69	-0.01	-0.22	0	0.38	0.33	0.29
YBR012W-B	-0.1	-0.74	-0.27	-0.18	-0.42		0.15	0.19
YBR013C			0.16	-0.79	-0.06			-0.3
YBR014C	0.39	0.81	0.67	1	0.9		0.71	0.86
YBR015C	-0.67	-0.79	-0.23	-0.86	-0.64	0.04	-0.1	-0.43
YBR016W	0.04	0.46	0.38	0.45	-0.03		0.03	-0.14
YBR017C	-0.32	-0.92	-0.38	-0.79	-0.36	0.18	0.06	-0.29
YBR018C	1.06		1.74	1.26	1.74	0.96		0
YBR019C	0.1	0.11	0.5	0.38	0.24		-0.45	0.19
YBR020W	-0.03	-0.29	0.01	-0.07	0.01	0.04	0.03	-0.25
YBR021W	-1.25	-2.25	-1.89	-1.89	-0.89	0.58	-0.03	-0.29
YBR022W	-0.27	-0.32	0.21	0.32	0.51	0.12	0.28	0.08
YBR023C	-0.6	-1.6	-0.47	-0.62	-0.42	0.3	-0.64	-0.49
YBR024W	0.25	0.33	0.78	0.86	0.86	0.06	0.2	0.31
YBR025C	0.31	-0.04	-0.2	-0.42	-0.62	-0.71	-0.1	0.42
YBR026C	0.78	1.18	2.13	2.52	2.42	1.64	1.04	1
YBR027C	-0.43	-0.79	-0.27	-0.49	-0.25	-0.74	-0.81	-0.6
YBR028C	-0.79	-1.6	-0.84	-0.56	-0.89	-0.94	-0.32	-0.25
YBR029C	-0.58	-0.79	-0.1	-0.23	-0.25	-0.14	-0.38	-0.22
YBR030W	-1.03	-1.84	-1.84	-1.29	-1.43	-1.47	-0.64	-0.27
YBR031W	-0.3	-0.84	-1.25	-2.18	-1.89	-0.92	-0.94	-1.06
YBR032W	-0.12	-1.06	-1.06	-0.64	-0.76		-0.43	-0.23
YBR033W	-0.18	-0.74	-0.46	-0.62	-0.08	-0.03	-1.12	0.06
YBR034C	-3.18	-4.32	-3.32	-3.06	-2.74	-2.32	-1.64	-1.15
