TF	Gene	Interaction
IHF	b1682	1
IHF	b3727	1
IHF	b2731	1
IHF	b0934	1
IHF	b4196	1
IHF	b1684	1
IHF	b2288	-1
IHF	b2287	-1
IHF	b2284	-1
IHF	b3113	1
IHF	b0033	1
IHF	b4192	1
IHF	b1679	1
IHF	b3540	1
IHF	b0903	-1
IHF	b4197	1
IHF	b3725	1
IHF	b1306	1
IHF	b4026	1
IHF	b1388	1
IHF	b4073	1
IHF	b4198	1
IHF	b2711	1
IHF	b0933	1
IHF	b4067	-1
IHF	b3544	1
IHF	b2710	1
IHF	b0124	-1
IHF	b0553	-1
IHF	b1308	1
IHF	b3574	1
IHF	b3260	-1
IHF	b1393	1
IHF	b4075	1
IHF	b4074	1
IHF	b4376	1
IHF	b4076	1
IHF	b0032	1
IHF	b4193	1
IHF	b1391	1
IHF	b1387	1
IHF	b1680	1
IHF	b1394	1
IHF	b1390	1
IHF	b0125	-1
IHF	b1395	1
IHF	b3213	1
IHF	b3724	1
IHF	b1398	1
IHF	b3214	1
IHF	b4029	1
IHF	b1389	1
IHF	b1392	1
IHF	b3405	-1
IHF	b1397	1
IHF	b1712	1
IHF	b3212	1
IHF	b3404	-1
IHF	b3461	1
IHF	b3368	-1
IHF	b0912	1
IHF	b1748	1
IHF	b1747	1
IHF	b1335	1
IHF	b1940	1
IHF	b1746	1
IHF	b2038	1
IHF	b3119	1
IHF	b2670	1
IHF	b3923	-1
IHF	b2039	1
IHF	b3512	1
IHF	b2507	-1
IHF	b1488	1
IHF	b1484	1
IHF	b0812	1
IHF	b0430	-1
IHF	b1498	1
IHF	b0431	-1
IHF	b0429	-1
IHF	b1337	1
IHF	b2508	-1
IHF	b3518	1
IHF	b3623	1
IHF	b3604	-1
IHF	b0041	1
IHF	b3624	1
IHF	b4122	1
IHF	b3626	1
IHF	b1344	1
IHF	b3922	-1
IHF	b1942	1
IHF	b1744	1
IHF	b1485	1
IHF	b1745	1
IHF	b2203	1
IHF	b2483	1
IHF	b1339	1
IHF	b0036	1
IHF	b0721	-1
IHF	b0723	-1
IHF	b0722	-1
IHF	b2425	1
IHF	b2013	1
IHF	b2012	1
IHF	b2241	-1
IHF	b3869	-1
IHF	b2205	1
IHF	b3632	1
IHF	b3510	1
IHF	b1939	1
IHF	b2202	1
IHF	b3625	1
IHF	b3302	-1
IHF	b2243	-1
IHF	b3628	1
IHF	b0727	-1
IHF	b3627	1
IHF	b2208	-1
IHF	b1483	1
IHF	b0249	1
