TF	Gene	Interaction
CRP	b1620	-1
CRP	b3868	-1
CRP	b3514	-1
CRP	b3513	-1
CRP	b3781	-1
CPXR	b1888	-1
CPXR	b1887	-1
CPXR	b1890	-1
CPXR	b1038	-1
CPXR	b0929	-1
CPXR	b1889	-1
CPXR	b1039	-1
CPXR	b1040	-1
CPXR	b1037	-1
CPXR	b4355	-1
CPXR	b1043	-1
CPXR	b1041	-1
CPXR	b1042	-1
CPXR	b2580	-1
SDIA	b0094	-1
SDIA	b0095	-1
TORR	b0995	-1
NSRR	b4209	-1
LEXA	b2616	-1
LEXA	b0958	-1
LEXA	b2698	-1
LEXA	b2699	-1
LEXA	b1861	-1
LEXA	b1183	-1
LEXA	b4044	-1
LEXA	b4058	-1
LEXA	b4043	-1
LEXA	b0799	-1
LEXA	b1184	-1
LEXA	b1728	-1
LEXA	b1860	-1
LEXA	b4059	-1
LEXA	b3066	-1
LEXA	b3067	-1
LEXA	b3065	-1
GNTR	b3437	-1
GNTR	b3415	-1
GNTR	b1850	-1
GNTR	b1851	-1
PHOP	b4241	-1
NARP	b1474	-1
NARP	b1476	-1
NARP	b1475	-1
DGSA	b1101	-1
DGSA	b1817	-1
DGSA	b1818	-1
DGSA	b1819	-1
DGSA	b2415	-1
DGSA	b1594	-1
DGSA	b2416	-1
DGSA	b2417	-1
DGSA	b3418	-1
CYTR	b4382	-1
CYTR	b3831	-1
CYTR	b4383	-1
CYTR	b2964	-1
CYTR	b4381	-1
CYTR	b4384	-1
CYTR	b2143	-1
CYTR	b3363	-1
NARL	b4152	-1
NARL	b2208	-1
NARL	b4153	-1
NARL	b4151	-1
NARL	b4154	-1
NARL	b2203	-1
NARL	b4139	-1
NARL	b2206	-1
NARL	b2202	-1
NARL	b2204	-1
NARL	b2207	-1
NARL	b2205	-1
NARL	b2197	-1
NARL	b0904	-1
NARL	b0894	-1
NARL	b0895	-1
NARL	b2199	-1
NARL	b0903	-1
NARL	b2198	-1
NARL	b4125	-1
NARL	b4124	-1
NARL	b2201	-1
NARL	b2196	-1
NARL	b2200	-1
NARL	b2195	-1
NARL	b4138	-1
NARL	b2194	-1
NARL	b0896	-1
NARL	b4079	-1
GALS	b2943	-1
GALS	b2151	-1
GALR	b2943	-1
DNAA	b1415	-1
DNAA	b3701	-1
DNAA	b3461	-1
DNAA	b2507	-1
DNAA	b3700	-1
DNAA	b3702	-1
DNAA	b2508	-1
RBSR	b3749	-1
RBSR	b3750	-1
RBSR	b3748	-1
RBSR	b3752	-1
RBSR	b3751	-1
RBSR	b3753	-1
YIAJ	b3578	-1
YIAJ	b3580	-1
YIAJ	b3577	-1
YIAJ	b3582	-1
YIAJ	b3576	-1
YIAJ	b3575	-1
YIAJ	b3583	-1
YIAJ	b3579	-1
YIAJ	b3581	-1
UXUR	b4322	-1
UXUR	b4321	-1
UXUR	b4323	-1
ILVY	b3773	-1
PAAX	b1388	-1
PAAX	b1389	-1
PAAX	b1395	-1
PAAX	b1396	-1
PAAX	b1393	-1
PAAX	b1398	-1
PAAX	b1390	-1
PAAX	b1394	-1
PAAX	b1397	-1
PAAX	b1392	-1
PAAX	b1391	-1
PAAX	b1387	-1
BIRA	b0775	-1
BIRA	b0776	-1
BIRA	b0777	-1
BIRA	b0778	-1
BIRA	b0774	-1
ALLR	b0507	-1
ALLR	b0510	-1
ALLR	b0508	-1
ALLR	b0509	-1
ALLR	b0511	-1
ALLR	b0512	-1
ALLR	b0504	-1
ALLR	b0513	-1
ALLR	b0505	-1
ALLR	b0514	-1
SGRR	b0067	-1
SGRR	b0068	-1
SGRR	b0069	-1
SGRR	b0066	-1
NIKR	b3476	-1
NIKR	b3478	-1
NIKR	b3480	-1
NIKR	b3479	-1
NIKR	b3477	-1
NIKR	b3481	-1
ARSR	b3502	-1
ARSR	b3503	-1
ARSR	b3501	-1
ACRR	b0464	-1
ACRR	b0463	-1
ACRR	b0462	-1
MNTR	b2392	-1
SOXR	b4063	-1
NADR	b2574	-1
MARR	b1531	-1
MARR	b1532	-1
MARR	b1530	-1
GADW	b1493	-1
GADW	b3517	-1
GADW	b1492	-1
GADW	b3516	-1
MALI	b1621	-1
MALI	b1622	-1
MALI	b1620	-1
LRHA	b1892	-1
LRHA	b1891	-1
MNGR	b0732	-1
MNGR	b0731	-1
MNGR	b0730	-1
RCNR	b2106	-1
TRER	b4240	-1
TRER	b4239	-1
HU	b0758	-1
HU	b0757	-1
HU	b0759	-1
HU	b0756	-1
HCAR	b2537	-1
GLCC	b2980	-1
ALAS	b2697	-1
FABR	b0954	-1
FABR	b2323	-1
KDGR	b1850	-1
CYNR	b0338	-1
MPRA	b2685	-1
MPRA	b2684	-1
MPRA	b2686	-1
PUTA	b1014	-1
ZUR	b1857	-1
ZUR	b1858	-1
ZUR	b1859	-1
HDFR	b1892	-1
HDFR	b1891	-1
CSGD	b1043	1
CSGD	b1042	1
CSGD	b1041	1
CSGD	b0385	1
H-NS	b4316	1
H-NS	b4318	1
H-NS	b4320	1
H-NS	b4315	1
H-NS	b4319	1
H-NS	b4314	1
H-NS	b1892	1
H-NS	b4317	1
H-NS	b1891	1
ROB	b1531	1
ROB	b1611	1
ROB	b2237	1
ROB	b1532	1
ROB	b1530	1
ROB	b1852	1
ROB	b0462	1
ROB	b0463	1
PHOB	b3728	1
PHOB	b1020	1
PHOB	b0384	1
PHOB	b3727	1
PHOB	b0383	1
PHOB	b1597	1
PHOB	b3725	1
PHOB	b3724	1
PHOB	b0399	1
PHOB	b3726	1
PHOB	b0400	1
PHOB	b0241	1
PHOB	b4030	1
NAC	b0336	1
NAC	b0337	1
CSPA	b1237	1
XYLR	b3566	1
XYLR	b3567	1
XYLR	b3569	1
XYLR	b3565	1
XYLR	b3568	1
XYLR	b3564	1
FADR	b0954	1
FADR	b2323	1
